epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,1.06097,0.48571,0.82645,0.93512,1,0.65506,0.69501,0.44414,1.26505,1.89748,1.39042,2e-05,2e-05,2e-05
2,1.72397,0.73165,1.1285,1.12131,0.98078,0.58333,0.68489,0.42116,1.25085,1.93116,1.3805,5.9406e-05,5.9406e-05,5.9406e-05
3,2.37733,0.49057,0.8069,0.9229,1,0.57808,0.64016,0.41932,1.23043,1.92798,1.35536,9.802e-05,9.802e-05,9.802e-05
4,3.03448,0.47506,0.94757,0.99237,0.77232,0.56697,0.54866,0.40134,1.23336,1.98761,1.31836,0.000135842,0.000135842,0.000135842
5,3.68152,0.51728,0.77546,0.9958,0.82174,0.5,0.48751,0.34994,1.23192,2.0982,1.29112,0.000172872,0.000172872,0.000172872
6,4.29832,0.60961,1.05636,1.06434,0.85644,0.5,0.48798,0.35015,1.13794,2.0747,1.22595,0.00020911,0.00020911,0.00020911
7,4.96297,0.4092,0.78633,0.92073,0.93662,0.5,0.52389,0.39545,1.13606,1.99154,1.21802,0.000244556,0.000244556,0.000244556
8,5.62752,0.56061,0.7748,0.97934,1,0.48623,0.53173,0.40227,1.09799,1.98258,1.21028,0.00027921,0.00027921,0.00027921
9,6.42143,0.55209,0.85735,0.98952,0.84268,0.5,0.50541,0.40191,1.09374,2.02495,1.2152,0.000313072,0.000313072,0.000313072
10,7.06558,0.56722,0.83524,0.99967,0.84026,0.5,0.49094,0.38085,1.09763,1.99849,1.23237,0.000346142,0.000346142,0.000346142
11,7.6792,0.55561,0.87454,0.97711,0.82945,0.5,0.47822,0.36729,1.12994,2.03297,1.23891,0.00037842,0.00037842,0.00037842
12,8.29897,0.54267,0.82529,1.01235,0.82883,0.5,0.49158,0.37839,1.1285,2.00644,1.24262,0.000409906,0.000409906,0.000409906
13,8.91953,0.58808,0.84688,0.95073,0.81191,0.41667,0.45304,0.34225,1.15373,2.01518,1.28408,0.0004406,0.0004406,0.0004406
14,9.53568,0.5669,0.85206,0.96793,0.79687,0.41667,0.45757,0.30004,1.19394,2.0635,1.30431,0.000470502,0.000470502,0.000470502
15,10.1935,0.43047,0.95491,0.91198,1,0.40206,0.47376,0.30995,1.24437,2.17693,1.33634,0.000499612,0.000499612,0.000499612
16,10.7991,0.63196,1.16953,1.02888,0.7101,0.41667,0.42779,0.28671,1.39186,2.30337,1.49078,0.00052793,0.00052793,0.00052793
17,11.4457,0.53242,0.93283,0.97754,0.78257,0.33333,0.38216,0.24703,1.39603,2.4061,1.54977,0.000555456,0.000555456,0.000555456
18,12.1095,0.65077,1.06509,1.00941,0.60493,0.33333,0.28702,0.19023,1.52323,2.54877,1.62499,0.00058219,0.00058219,0.00058219
19,12.7472,0.62524,1.01525,1.05552,0.64461,0.33333,0.29336,0.20153,1.4697,2.374,1.53759,0.000608132,0.000608132,0.000608132
20,13.3591,0.65669,0.89653,0.95802,0.52419,0.41667,0.30848,0.21163,1.38978,2.21093,1.41386,0.000633282,0.000633282,0.000633282
21,13.9888,0.71765,0.89684,0.95369,0.95558,0.41667,0.48795,0.31346,1.39209,2.13724,1.4674,0.00065764,0.00065764,0.00065764
22,14.6225,0.51521,1.03554,1.01824,0.98471,0.5,0.52299,0.35445,1.37525,2.11956,1.49377,0.000681206,0.000681206,0.000681206
23,15.2579,0.55232,0.75306,0.94146,0.96354,0.5,0.51637,0.36891,1.31933,1.96986,1.48233,0.00070398,0.00070398,0.00070398
24,15.9208,0.66854,1.1624,1.0559,0.96733,0.5,0.51739,0.38366,1.34907,1.89614,1.47314,0.000725962,0.000725962,0.000725962
25,16.5712,0.71213,0.78845,1.09124,0.96433,0.5,0.51649,0.42006,1.3113,1.91161,1.43684,0.000747152,0.000747152,0.000747152
26,17.2334,0.67519,1.03506,1.04404,0.84942,0.5,0.49641,0.38544,1.31595,2.00297,1.44181,0.00076755,0.00076755,0.00076755
