epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,1.92048,0.49174,2.21299,1.01377,0.008,1,0.69939,0.4228,0.71713,2.82143,1.10466,2e-05,2e-05,2e-05
2,2.60983,0.58637,2.15393,1.06685,0.008,1,0.60991,0.40426,0.71086,2.81408,1.10453,5.8812e-05,5.8812e-05,5.8812e-05
3,3.29785,0.60067,2.27152,1.06667,0.008,1,0.70612,0.41265,0.74777,2.79955,1.1061,9.604e-05,9.604e-05,9.604e-05
4,3.96703,0.59823,1.84659,1.09686,0.008,1,0.62365,0.43732,0.749,2.77309,1.14537,0.000131684,0.000131684,0.000131684
5,4.60957,0.66175,1.46623,1.07006,0.008,1,0.58114,0.43917,0.81831,2.68232,1.14248,0.000165744,0.000165744,0.000165744
6,5.22317,0.83316,1.56644,1.24617,0.02162,0.66667,0.56334,0.39459,0.93797,2.64538,1.17906,0.00019822,0.00019822,0.00019822
7,5.94461,0.53996,1.29374,0.96369,0.00667,0.83333,0.48244,0.29523,1.42375,2.83761,1.39073,0.000229112,0.000229112,0.000229112
8,6.56291,0.65323,1.27396,1.02069,0.00667,0.83333,0.4814,0.24059,1.8389,3.01619,1.70321,0.00025842,0.00025842,0.00025842
9,7.1761,0.73073,1.29964,1.05519,0.006,0.75,0.47783,0.23007,1.99435,3.03903,1.86969,0.000286144,0.000286144,0.000286144
10,7.94809,0.66837,1.15344,1.03932,0.00533,0.66667,0.42262,0.20979,2.1412,3.03487,2.02467,0.000312284,0.000312284,0.000312284
11,8.55979,0.65561,1.15198,1.05936,0.00533,0.66667,0.42273,0.2341,2.11945,3.01137,1.97674,0.00033684,0.00033684,0.00033684
12,9.16155,0.74088,1.17703,1.11117,0.7243,0.41667,0.39312,0.19709,2.07306,3.00125,1.9679,0.000359812,0.000359812,0.000359812
13,9.78711,0.56388,1.05789,0.95193,0.71523,0.33333,0.3785,0.17319,2.02252,2.93456,1.9705,0.0003812,0.0003812,0.0003812
14,10.4264,0.75491,1.06058,1.11263,0.81738,0.37678,0.46903,0.2043,1.77983,2.88095,1.81533,0.000401004,0.000401004,0.000401004
15,11.0629,0.57695,1.2859,0.99604,1,0.37651,0.46657,0.2531,1.59287,2.82638,1.70323,0.000419224,0.000419224,0.000419224
16,11.6664,0.58747,1.3375,1.04986,0.95098,0.41667,0.52154,0.31488,1.48749,2.73662,1.59546,0.00043586,0.00043586,0.00043586
17,12.2698,0.66798,1.15558,1.05021,1,0.333,0.54653,0.39682,1.35156,2.69317,1.47667,0.000450912,0.000450912,0.000450912
18,12.9413,0.82589,1.34353,1.10585,1,0.31739,0.58778,0.42983,1.3062,2.60235,1.45643,0.00046438,0.00046438,0.00046438
19,13.5843,0.74928,1.13411,1.09308,0.97354,0.5,0.58811,0.42868,1.27485,2.48197,1.42933,0.000476264,0.000476264,0.000476264
20,14.2437,0.69784,1.0453,0.96834,0.91005,0.5,0.57963,0.41545,1.32901,2.39211,1.4482,0.000486564,0.000486564,0.000486564
21,14.8648,0.80413,1.0553,1.04681,1,0.5551,0.59998,0.38003,1.36247,2.29844,1.52012,0.00049528,0.00049528,0.00049528
22,15.4733,0.59259,1.11181,1.05814,0.96023,0.5,0.56939,0.3493,1.37952,2.24653,1.55671,0.000502412,0.000502412,0.000502412
23,16.1006,0.54936,0.87975,0.94402,0.94277,0.5,0.55564,0.366,1.37955,2.25473,1.47849,0.00050796,0.00050796,0.00050796
24,16.6942,0.71199,1.16678,1.08756,0.95465,0.5,0.54312,0.40636,1.33388,2.31935,1.39676,0.000511924,0.000511924,0.000511924
25,17.2722,0.71099,0.98269,1.08744,0.98637,0.5,0.5616,0.44299,1.22303,2.3057,1.34396,0.000514304,0.000514304,0.000514304
26,17.8856,0.64941,1.2711,0.98891,0.87038,0.56179,0.57943,0.4018,1.18517,2.17476,1.35269,0.0005151,0.0005151,0.0005151
27,18.4963,0.54429,1.00592,0.9158,1,0.58052,0.65077,0.40966,1.30039,2.05655,1.3735,0.000514312,0.000514312,0.000514312
28,19.0983,0.61174,0.86444,0.98072,1,0.58052,0.65077,0.40966,1.30039,2.05655,1.3735,0.00051194,0.00051194,0.00051194
29,19.7196,0.55539,0.90763,0.98849,0.88474,0.64177,0.65994,0.42251,1.2689,1.94134,1.36527,0.000507984,0.000507984,0.000507984
30,20.3243,0.49349,0.85798,0.94414,0.88676,0.65387,0.66299,0.4199,1.27479,1.90171,1.38444,0.000502444,0.000502444,0.000502444
31,20.9209,0.6905,0.98778,1.03058,0.88676,0.65387,0.66299,0.4199,1.27479,1.90171,1.38444,0.00049532,0.00049532,0.00049532
32,21.521,0.48524,0.83325,0.91957,1,0.65445,0.69269,0.43265,1.24842,1.90776,1.39561,0.000486612,0.000486612,0.000486612
33,22.157,0.49446,0.83285,0.97032,0.99984,0.58333,0.66313,0.42272,1.23125,2.0141,1.39396,0.00047632,0.00047632,0.00047632
34,22.7313,0.72162,0.95813,1.00428,0.99984,0.58333,0.66313,0.42272,1.23125,2.0141,1.39396,0.000464444,0.000464444,0.000464444
35,23.328,0.54389,0.86294,1.05508,1,0.58109,0.59651,0.39046,1.15656,2.01434,1.3328,0.000450984,0.000450984,0.000450984
36,23.9837,0.53718,0.90754,0.9119,0.98202,0.5,0.58059,0.38717,1.17146,2.07182,1.30286,0.00043594,0.00043594,0.00043594
37,24.628,0.44223,0.75249,0.88114,0.98202,0.5,0.58059,0.38717,1.17146,2.07182,1.30286,0.000419312,0.000419312,0.000419312
38,25.241,0.57352,1.0511,0.97244,0.97402,0.5,0.57218,0.36109,1.18783,2.11124,1.29854,0.0004011,0.0004011,0.0004011
39,25.8703,0.44635,0.86217,0.96994,0.9481,0.5,0.55083,0.37057,1.13862,2.09387,1.27227,0.000381304,0.000381304,0.000381304
40,26.4474,0.4898,0.82018,0.89055,0.9481,0.5,0.55083,0.37057,1.13862,2.09387,1.27227,0.000359924,0.000359924,0.000359924
41,27.0832,0.43832,1.4116,0.90835,1,0.48224,0.5587,0.39414,1.08561,2.10686,1.24703,0.00033696,0.00033696,0.00033696
42,27.7162,0.41583,1.63264,0.896,0.84348,0.45218,0.51187,0.36739,1.12096,2.15468,1.23864,0.000312412,0.000312412,0.000312412
43,28.3072,0.33266,1.13014,0.90916,0.84348,0.45218,0.51187,0.36739,1.12096,2.15468,1.23864,0.00028628,0.00028628,0.00028628
44,28.8702,0.41189,1.08066,0.88988,1,0.47343,0.51902,0.36674,1.10055,2.22345,1.22891,0.000258564,0.000258564,0.000258564
45,29.4343,0.52226,1.22301,0.92174,1,0.47343,0.51902,0.36674,1.10055,2.22345,1.22891,0.000229264,0.000229264,0.000229264
46,30.0804,0.44928,1.28133,0.88508,1,0.4653,0.51445,0.36651,1.09882,2.2974,1.23962,0.00019838,0.00019838,0.00019838
