epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,59.291,0.55542,0.55427,0.91184,0.81352,0.625,0.59397,0.41685,1.18894,1.52018,1.3477,0.0011882,0.0011882,0.0011882
43,60.3818,0.52416,0.51202,0.91232,0.8261,0.625,0.62361,0.5026,1.00045,1.33966,1.23924,0.0011684,0.0011684,0.0011684
44,61.4385,0.52519,0.54614,0.90396,0.89692,0.625,0.63879,0.51781,0.94331,1.25361,1.18461,0.0011486,0.0011486,0.0011486
45,62.5142,0.54794,0.58377,0.94166,0.89692,0.625,0.63879,0.51781,0.94331,1.25361,1.18461,0.0011288,0.0011288,0.0011288
46,63.5747,0.5517,0.61496,0.94242,0.86418,0.625,0.64405,0.53455,0.93475,1.26718,1.1704,0.001109,0.001109,0.001109
47,64.6187,0.58449,0.59696,0.96627,0.86482,0.625,0.61397,0.49001,1.03814,1.33519,1.23098,0.0010892,0.0010892,0.0010892
48,65.7165,0.57573,0.55049,0.99401,0.8259,0.625,0.56897,0.46683,1.07902,1.3569,1.28794,0.0010694,0.0010694,0.0010694
49,66.7886,0.59118,0.53857,0.93116,0.8259,0.625,0.56897,0.46683,1.07902,1.3569,1.28794,0.0010496,0.0010496,0.0010496
50,67.8463,0.50609,0.56258,0.94391,0.83062,0.61382,0.60505,0.44883,1.20097,1.41457,1.34801,0.0010298,0.0010298,0.0010298
51,68.9767,0.47665,0.50747,0.90463,0.82356,0.625,0.63599,0.45511,1.27659,1.32182,1.38481,0.00101,0.00101,0.00101
52,70.0444,0.52199,0.58761,0.90513,0.93734,0.625,0.64242,0.4531,1.30057,1.28264,1.44506,0.0009902,0.0009902,0.0009902
53,71.1366,0.49453,0.50686,0.91483,0.93734,0.625,0.64242,0.4531,1.30057,1.28264,1.44506,0.0009704,0.0009704,0.0009704
54,72.2215,0.54145,0.57267,0.94237,0.98457,0.625,0.6364,0.46741,1.29546,1.28793,1.48943,0.0009506,0.0009506,0.0009506
55,73.3572,0.52799,0.493,0.91702,0.99021,0.625,0.63385,0.46718,1.28719,1.3578,1.4815,0.0009308,0.0009308,0.0009308
56,74.8013,0.50385,0.52974,0.93576,0.9874,0.625,0.63325,0.47863,1.2889,1.33721,1.47585,0.000911,0.000911,0.000911
57,76.1439,0.57305,0.53001,0.9811,0.9874,0.625,0.63325,0.47863,1.2889,1.33721,1.47585,0.0008912,0.0008912,0.0008912
58,77.4848,0.51163,0.48544,0.93174,0.9779,0.625,0.63153,0.48572,1.25578,1.30771,1.42756,0.0008714,0.0008714,0.0008714
59,78.997,0.4939,0.54813,0.957,0.97282,0.625,0.62919,0.48913,1.24545,1.32484,1.4082,0.0008516,0.0008516,0.0008516
60,80.5062,0.52658,0.49655,0.94266,0.97467,0.625,0.62689,0.47389,1.23442,1.28341,1.40554,0.0008318,0.0008318,0.0008318
61,81.8956,0.47189,0.47673,0.887,0.97467,0.625,0.62689,0.47389,1.23442,1.28341,1.40554,0.000812,0.000812,0.000812
62,83.4277,0.46316,0.43327,0.9128,0.95774,0.625,0.62661,0.45953,1.27213,1.27138,1.42534,0.0007922,0.0007922,0.0007922
63,84.9728,0.57389,0.547,0.93214,0.92315,0.625,0.62642,0.45776,1.30836,1.17006,1.5155,0.0007724,0.0007724,0.0007724
64,86.2162,0.49575,0.4745,0.87858,0.90567,0.625,0.62624,0.46037,1.2226,1.13463,1.44487,0.0007526,0.0007526,0.0007526
65,87.415,0.45931,0.4567,0.89232,0.90567,0.625,0.62624,0.46037,1.2226,1.13463,1.44487,0.0007328,0.0007328,0.0007328
66,88.6931,0.52099,0.49822,0.90435,0.90434,0.625,0.62079,0.47507,1.17299,1.15533,1.41621,0.000713,0.000713,0.000713
67,90.1771,0.42964,0.42498,0.90793,0.90468,0.625,0.62081,0.47037,1.13792,1.07145,1.37393,0.0006932,0.0006932,0.0006932
68,91.3502,0.48395,0.4688,0.89424,0.90472,0.625,0.61421,0.45606,1.19927,1.14749,1.36654,0.0006734,0.0006734,0.0006734
