epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,1.85906,0.84326,1.35589,1.20651,0.98861,0.6875,0.7504,0.45363,1.34977,1.88036,1.49222,4e-05,4e-05,4e-05
2,3.04674,0.85695,1.3806,1.15651,1,0.74627,0.76513,0.52706,1.148,1.74901,1.30961,9.901e-05,9.901e-05,9.901e-05
3,4.16858,0.75886,1.1197,1.04229,1,0.7979,0.81864,0.51346,1.07837,1.82389,1.26438,0.000156832,0.000156832,0.000156832
4,5.31914,0.67134,1.0201,1.03058,0.8621,0.6875,0.80123,0.48092,1.18689,1.97617,1.37921,0.000213466,0.000213466,0.000213466
5,6.44181,0.67016,0.97962,0.98969,1,0.73756,0.81528,0.51472,1.16194,1.77724,1.35493,0.000268912,0.000268912,0.000268912
6,7.50529,0.61932,1.03515,1.01504,0.99094,0.6875,0.75732,0.54721,1.11863,1.53694,1.28675,0.00032317,0.00032317,0.00032317
7,8.51927,0.66667,0.95763,1.0015,0.99497,0.6875,0.75267,0.53205,1.08369,1.46529,1.23349,0.00037624,0.00037624,0.00037624
8,9.46083,0.64571,1.00043,0.99997,0.99852,0.6875,0.74667,0.52636,1.03596,1.47672,1.19608,0.000428122,0.000428122,0.000428122
9,10.5538,0.57926,0.87951,0.93535,1,0.74456,0.80287,0.56567,0.95972,1.44613,1.14666,0.000478816,0.000478816,0.000478816
10,11.5505,0.68327,0.98419,0.98811,1,0.79338,0.84173,0.5827,0.9792,1.35493,1.16587,0.000528322,0.000528322,0.000528322
11,12.5039,0.61956,0.83769,0.94466,0.99847,0.75,0.80403,0.57909,1.01034,1.34728,1.18212,0.00057664,0.00057664,0.00057664
12,13.4799,0.64788,0.86967,0.97364,0.99086,0.75,0.80764,0.54379,1.05435,1.40677,1.23355,0.00062377,0.00062377,0.00062377
13,14.4439,0.62378,0.88218,0.94486,0.98964,0.625,0.69678,0.54894,1.06626,1.55737,1.28254,0.000669712,0.000669712,0.000669712
14,15.3528,0.68858,0.92473,0.97207,0.98796,0.625,0.66939,0.52722,1.044,1.48933,1.23213,0.000714466,0.000714466,0.000714466
15,16.2969,0.65275,0.91471,1.00253,0.90168,0.625,0.66958,0.49236,1.14443,1.48664,1.28722,0.000758032,0.000758032,0.000758032
16,17.2237,0.68806,0.85588,0.977,0.81873,0.6875,0.64329,0.48528,1.16188,1.48188,1.30416,0.00080041,0.00080041,0.00080041
17,18.196,0.69984,0.90034,0.97577,0.87754,0.5625,0.66422,0.4496,1.31107,1.61256,1.47275,0.0008416,0.0008416,0.0008416
18,19.1373,0.67226,0.88178,0.97585,0.89155,0.5625,0.71819,0.46,1.30898,1.58017,1.40037,0.000881602,0.000881602,0.000881602
19,20.0858,0.70873,1.02125,0.96874,0.99395,0.625,0.78622,0.52008,1.21096,1.30416,1.28619,0.000920416,0.000920416,0.000920416
20,21.0363,0.70341,0.96634,0.97899,0.91659,0.68688,0.7457,0.50567,1.13894,1.39614,1.26907,0.000958042,0.000958042,0.000958042
21,21.998,0.6258,0.9253,0.96332,0.9808,0.625,0.74219,0.48807,1.19769,1.40906,1.31004,0.00099448,0.00099448,0.00099448
22,22.9762,0.7128,0.9017,0.9707,1,0.67329,0.72209,0.47503,1.35217,1.47479,1.45533,0.00102973,0.00102973,0.00102973
23,23.9203,0.76881,0.87267,1.00042,1,0.68459,0.71122,0.48244,1.45837,1.59995,1.52108,0.00106379,0.00106379,0.00106379
24,24.8405,0.60513,0.91143,1.04949,0.94072,0.625,0.66718,0.45716,1.44113,1.8093,1.53358,0.00109667,0.00109667,0.00109667
25,25.7796,0.6893,0.82686,0.98567,0.7972,0.625,0.62525,0.41684,1.46344,2.05179,1.57827,0.00112835,0.00112835,0.00112835
26,26.7181,0.60127,0.78101,0.95414,0.82285,0.625,0.59856,0.36675,1.42426,2.24888,1.53387,0.00115885,0.00115885,0.00115885
27,27.6344,0.61434,0.80015,0.97195,0.86693,0.625,0.62744,0.38572,1.42926,2.31689,1.52718,0.00118816,0.00118816,0.00118816
28,28.5736,0.63312,0.81344,0.92572,0.80383,0.5625,0.58301,0.35135,1.33133,2.17274,1.43489,0.00121628,0.00121628,0.00121628
29,29.5131,0.66459,0.89664,0.95012,0.80383,0.5625,0.58301,0.35135,1.33133,2.17274,1.43489,0.00124322,0.00124322,0.00124322
30,30.4701,0.63959,0.80686,0.98922,0.93385,0.5625,0.63415,0.41492,1.19467,1.72898,1.37263,0.00126896,0.00126896,0.00126896
31,31.4056,0.67152,0.86054,1.01266,0.97451,0.6875,0.6961,0.47063,1.27396,1.61048,1.45208,0.00129352,0.00129352,0.00129352
32,32.3543,0.64647,0.77136,0.96375,0.96142,0.6875,0.69342,0.42522,1.26588,1.7106,1.4959,0.00131689,0.00131689,0.00131689
33,33.2816,0.70538,0.80482,1.00339,0.96142,0.6875,0.69342,0.42522,1.26588,1.7106,1.4959,0.00133907,0.00133907,0.00133907
34,34.2398,0.68281,0.82557,0.98144,0.90919,0.6875,0.68248,0.39232,1.27984,1.65109,1.48741,0.0013466,0.0013466,0.0013466
35,35.2297,0.64019,0.74944,0.99853,0.89938,0.625,0.61924,0.45144,1.08905,1.69319,1.30888,0.0013268,0.0013268,0.0013268
36,36.1864,0.60852,0.82006,0.98115,0.94442,0.625,0.63135,0.47093,1.03207,1.59187,1.24473,0.001307,0.001307,0.001307
37,37.1122,0.57124,0.6825,0.91039,0.94442,0.625,0.63135,0.47093,1.03207,1.59187,1.24473,0.0012872,0.0012872,0.0012872
38,38.0318,0.64986,0.82396,0.99783,0.86833,0.625,0.61575,0.41619,1.11403,1.67677,1.31885,0.0012674,0.0012674,0.0012674
39,38.967,0.62269,0.77698,0.96578,0.82172,0.625,0.58464,0.41005,1.15155,1.71184,1.32496,0.0012476,0.0012476,0.0012476
40,39.8887,0.62509,0.74915,0.99035,0.89329,0.625,0.61264,0.39553,1.28673,1.71676,1.48236,0.0012278,0.0012278,0.0012278
41,40.79,0.59524,0.72152,0.94383,0.89329,0.625,0.61264,0.39553,1.28673,1.71676,1.48236,0.001208,0.001208,0.001208
42,41.7405,0.56085,0.68108,0.91672,1,0.61146,0.63155,0.39194,1.1928,1.62361,1.37435,0.0011882,0.0011882,0.0011882
43,42.6567,0.56938,0.66074,0.92754,0.78551,0.68671,0.66569,0.39367,1.11855,1.56269,1.33867,0.0011684,0.0011684,0.0011684
44,43.5835,0.57373,0.68068,0.92195,0.89067,0.625,0.66715,0.4065,1.20977,1.82745,1.41763,0.0011486,0.0011486,0.0011486
45,44.4659,0.52929,0.69439,0.94612,0.89067,0.625,0.66715,0.4065,1.20977,1.82745,1.41763,0.0011288,0.0011288,0.0011288
46,45.4276,0.57039,0.69227,0.9483,0.9088,0.62297,0.64907,0.42063,1.32345,1.81366,1.45772,0.001109,0.001109,0.001109
47,46.3455,0.55731,0.72828,0.93285,0.90891,0.62374,0.63981,0.42372,1.38348,1.74477,1.41253,0.0010892,0.0010892,0.0010892
48,47.2756,0.59906,0.65969,0.96967,0.8565,0.625,0.62881,0.44693,1.26638,1.55231,1.32372,0.0010694,0.0010694,0.0010694
49,48.1965,0.56163,0.64906,0.918,0.8565,0.625,0.62881,0.44693,1.26638,1.55231,1.32372,0.0010496,0.0010496,0.0010496
50,49.1355,0.54093,0.69184,0.94277,0.82103,0.625,0.62896,0.43727,1.22574,1.4061,1.30595,0.0010298,0.0010298,0.0010298
51,50.0964,0.49566,0.61083,0.8988,0.94673,0.625,0.63623,0.42816,1.24394,1.37861,1.31186,0.00101,0.00101,0.00101
52,51.0192,0.59684,0.71218,0.93678,0.91358,0.625,0.63941,0.43736,1.19693,1.37265,1.2864,0.0009902,0.0009902,0.0009902
53,51.9493,0.50204,0.6117,0.93102,0.91358,0.625,0.63941,0.43736,1.19693,1.37265,1.2864,0.0009704,0.0009704,0.0009704
54,52.8743,0.59034,0.67928,0.92243,0.9718,0.625,0.64,0.45962,1.14693,1.39888,1.25376,0.0009506,0.0009506,0.0009506
55,53.8722,0.51321,0.56553,0.91649,0.9339,0.625,0.64483,0.47148,1.11984,1.44777,1.23925,0.0009308,0.0009308,0.0009308
56,54.7977,0.49599,0.68127,0.94667,0.97176,0.625,0.65514,0.4787,1.08206,1.33907,1.22113,0.000911,0.000911,0.000911
57,55.7068,0.58593,0.65372,1.01036,0.97176,0.625,0.65514,0.4787,1.08206,1.33907,1.22113,0.0008912,0.0008912,0.0008912
58,56.6104,0.49423,0.58081,0.93493,0.98267,0.625,0.66978,0.50656,1.05722,1.28486,1.21524,0.0008714,0.0008714,0.0008714
59,57.5623,0.49872,0.64037,0.9579,0.97854,0.625,0.67975,0.49615,1.04611,1.30791,1.21492,0.0008516,0.0008516,0.0008516
60,58.4932,0.48868,0.60095,0.92568,0.96735,0.625,0.66312,0.50282,1.14103,1.35583,1.27495,0.0008318,0.0008318,0.0008318
61,59.3695,0.49122,0.6034,0.89339,0.96735,0.625,0.66312,0.50282,1.14103,1.35583,1.27495,0.000812,0.000812,0.000812
62,60.3392,0.46327,0.52333,0.92028,0.91004,0.625,0.6621,0.49434,1.11083,1.42309,1.2283,0.0007922,0.0007922,0.0007922
63,61.2847,0.57668,0.72612,0.93617,0.90062,0.625,0.66563,0.51014,1.04755,1.37024,1.19652,0.0007724,0.0007724,0.0007724
64,62.1819,0.5136,0.57577,0.89996,0.90474,0.625,0.66977,0.49417,1.04818,1.353,1.20096,0.0007526,0.0007526,0.0007526
65,63.0794,0.50637,0.54094,0.91216,0.90474,0.625,0.66977,0.49417,1.04818,1.353,1.20096,0.0007328,0.0007328,0.0007328
66,63.9975,0.54887,0.56778,0.91452,0.90479,0.625,0.66301,0.48897,1.03803,1.3231,1.18798,0.000713,0.000713,0.000713
67,64.9181,0.45262,0.53418,0.92,0.90478,0.625,0.64617,0.46679,1.04849,1.31606,1.19908,0.0006932,0.0006932,0.0006932
68,65.8398,0.55719,0.59253,0.91399,0.90473,0.625,0.63088,0.45526,1.06779,1.33916,1.23389,0.0006734,0.0006734,0.0006734
69,66.7858,0.43127,0.56218,0.90847,0.90473,0.625,0.63088,0.45526,1.06779,1.33916,1.23389,0.0006536,0.0006536,0.0006536
70,67.6984,0.4964,0.54831,0.90119,0.90474,0.625,0.68812,0.48638,1.08699,1.3509,1.24799,0.0006338,0.0006338,0.0006338
71,68.6124,0.41284,0.51833,0.92585,0.90469,0.625,0.67288,0.48831,1.08456,1.36128,1.25298,0.000614,0.000614,0.000614
72,69.5198,0.49512,0.55428,0.91832,0.9046,0.625,0.657,0.48752,1.03094,1.33833,1.22264,0.0005942,0.0005942,0.0005942
73,70.3979,0.45361,0.55176,0.92275,0.9046,0.625,0.657,0.48752,1.03094,1.33833,1.22264,0.0005744,0.0005744,0.0005744
74,71.3146,0.52796,0.5376,0.88902,0.9045,0.625,0.6308,0.4707,1.06521,1.39658,1.26677,0.0005546,0.0005546,0.0005546
75,72.2402,0.4547,0.5264,0.89098,0.9044,0.625,0.62356,0.48643,1.08163,1.34116,1.28121,0.0005348,0.0005348,0.0005348
76,73.2195,0.4844,0.49331,0.91881,0.90438,0.625,0.62319,0.48046,1.10909,1.28385,1.31593,0.000515,0.000515,0.000515
77,74.132,0.51397,0.53248,0.91695,0.90438,0.625,0.62319,0.48046,1.10909,1.28385,1.31593,0.0004952,0.0004952,0.0004952
78,75.108,0.4933,0.51221,0.93303,0.90437,0.625,0.61935,0.46103,1.11115,1.28643,1.3226,0.0004754,0.0004754,0.0004754
79,76.0397,0.47877,0.54564,0.90169,0.90442,0.625,0.61537,0.44409,1.1367,1.29051,1.33299,0.0004556,0.0004556,0.0004556
80,77.0032,0.41384,0.48905,0.87317,0.90426,0.625,0.6168,0.44704,1.15744,1.28518,1.34282,0.0004358,0.0004358,0.0004358
81,78.0202,0.4706,0.48258,0.89874,0.90426,0.625,0.6168,0.44704,1.15744,1.28518,1.34282,0.000416,0.000416,0.000416
82,79.5953,0.44943,0.49527,0.90687,0.90411,0.625,0.63138,0.44545,1.1585,1.25547,1.32411,0.0003962,0.0003962,0.0003962
83,80.6658,0.51774,0.50946,0.94596,0.90038,0.625,0.64893,0.45262,1.14538,1.25774,1.30507,0.0003764,0.0003764,0.0003764
84,81.7021,0.47246,0.56294,0.90913,0.90371,0.625,0.65595,0.47313,1.10341,1.25887,1.27239,0.0003566,0.0003566,0.0003566
85,82.6595,0.45357,0.49611,0.91919,0.90371,0.625,0.65595,0.47313,1.10341,1.25887,1.27239,0.0003368,0.0003368,0.0003368
86,83.6881,0.42161,0.47995,0.90524,0.90334,0.625,0.65432,0.47852,1.0792,1.27772,1.24911,0.000317,0.000317,0.000317
