epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,2.08666,0.39584,0.41799,0.90373,0.93417,0.625,0.63004,0.50931,1.0506,0.97876,1.1899,4e-05,4e-05,4e-05
2,2.9568,0.39398,0.40805,0.8971,0.94237,0.625,0.65779,0.50082,1.124,1.00127,1.24973,9.901e-05,9.901e-05,9.901e-05
3,3.87383,0.4324,0.38909,0.88755,0.88278,0.625,0.66031,0.49592,1.15521,0.99029,1.2764,0.000156832,0.000156832,0.000156832
4,4.75052,0.42016,0.41178,0.90313,0.89377,0.625,0.6605,0.4576,1.20655,1.00081,1.30975,0.000213466,0.000213466,0.000213466
5,5.78644,0.3897,0.37062,0.87211,0.89365,0.625,0.67434,0.47072,1.2472,1.09174,1.38103,0.000268912,0.000268912,0.000268912
6,6.76221,0.44868,0.4265,0.9403,0.90092,0.625,0.674,0.45692,1.21601,1.06638,1.33962,0.00032317,0.00032317,0.00032317
7,7.64165,0.44874,0.43686,0.90789,0.90786,0.625,0.67398,0.46537,1.25138,1.16382,1.36009,0.00037624,0.00037624,0.00037624
8,8.50717,0.48356,0.46387,0.93749,0.90797,0.625,0.66806,0.485,1.25616,1.19435,1.36859,0.000428122,0.000428122,0.000428122
9,9.50527,0.40016,0.39678,0.86905,0.90794,0.625,0.63644,0.45515,1.24687,1.34745,1.38156,0.000478816,0.000478816,0.000478816
10,10.3685,0.48529,0.47967,0.90095,0.90777,0.625,0.63086,0.43335,1.24578,1.39079,1.38963,0.000528322,0.000528322,0.000528322
11,11.3019,0.42337,0.41898,0.87563,0.90194,0.625,0.63584,0.40188,1.28729,1.38941,1.44369,0.00057664,0.00057664,0.00057664
12,12.3569,0.44821,0.42391,0.90755,0.90222,0.625,0.63467,0.40758,1.29377,1.42604,1.46603,0.00062377,0.00062377,0.00062377
13,13.4235,0.45021,0.43271,0.87539,0.90514,0.625,0.63218,0.42334,1.30377,1.27042,1.5155,0.000669712,0.000669712,0.000669712
14,14.4162,0.46828,0.44733,0.88484,0.89238,0.625,0.63129,0.40978,1.33644,1.25801,1.58057,0.000714466,0.000714466,0.000714466
15,15.3382,0.52743,0.46505,0.91817,0.89724,0.625,0.63503,0.40586,1.45047,1.54369,1.57937,0.000758032,0.000758032,0.000758032
16,16.275,0.48168,0.44071,0.90844,0.89896,0.625,0.6444,0.41441,1.44834,1.58177,1.56073,0.00080041,0.00080041,0.00080041
17,17.3226,0.52874,0.46635,0.92629,0.97527,0.625,0.65582,0.47212,1.29667,1.39848,1.42109,0.0008416,0.0008416,0.0008416
18,18.846,0.51459,0.50574,0.94624,0.90879,0.625,0.64561,0.45099,1.32708,1.45065,1.40656,0.000881602,0.000881602,0.000881602
19,20.2131,0.43644,0.45498,0.88265,0.90894,0.62399,0.6267,0.39462,1.44125,1.58275,1.4431,0.000920416,0.000920416,0.000920416
20,21.4706,0.48884,0.52043,0.90858,0.81177,0.625,0.63405,0.37392,1.50801,1.67175,1.51424,0.000958042,0.000958042,0.000958042
21,22.9067,0.50081,0.47417,0.89924,0.84656,0.625,0.66903,0.42473,1.3554,1.45202,1.41701,0.00099448,0.00099448,0.00099448
22,24.2632,0.5201,0.46489,0.91098,0.98118,0.625,0.67622,0.46252,1.29982,1.42878,1.37813,0.00102973,0.00102973,0.00102973
23,25.7311,0.49862,0.47767,0.87929,0.89725,0.625,0.65753,0.44145,1.25811,1.55989,1.37814,0.00106379,0.00106379,0.00106379
24,27.1681,0.48105,0.5004,0.97697,0.8859,0.625,0.64138,0.45884,1.29696,1.58559,1.43948,0.00109667,0.00109667,0.00109667
25,28.5081,0.51054,0.4561,0.90519,0.8318,0.625,0.64216,0.44699,1.20803,1.37851,1.37048,0.00112835,0.00112835,0.00112835
26,29.9358,0.47882,0.41214,0.90258,0.81983,0.625,0.63523,0.43351,1.19862,1.3421,1.32766,0.00115885,0.00115885,0.00115885
27,31.2358,0.50241,0.43555,0.91518,0.81895,0.625,0.63309,0.43772,1.25139,1.28648,1.33869,0.00118816,0.00118816,0.00118816
28,32.5413,0.47166,0.44224,0.87385,0.83453,0.625,0.65746,0.47316,1.28542,1.16497,1.38819,0.00121628,0.00121628,0.00121628
29,33.7566,0.50281,0.48541,0.89254,0.83453,0.625,0.65746,0.47316,1.28542,1.16497,1.38819,0.00124322,0.00124322,0.00124322
30,34.9317,0.52008,0.46072,0.93914,0.89845,0.625,0.64617,0.48241,1.37376,1.15866,1.52139,0.00126896,0.00126896,0.00126896
31,36.2517,0.48162,0.47765,0.90342,0.9658,0.625,0.62984,0.46616,1.40531,1.14381,1.55402,0.00129352,0.00129352,0.00129352
32,37.6176,0.49998,0.46216,0.88906,0.88972,0.625,0.62801,0.43481,1.3641,1.19483,1.51361,0.00131689,0.00131689,0.00131689
33,38.9872,0.52891,0.51054,0.9423,0.88972,0.625,0.62801,0.43481,1.3641,1.19483,1.51361,0.00133907,0.00133907,0.00133907
34,40.1473,0.5437,0.52835,0.91122,0.90889,0.625,0.63907,0.4425,1.23558,1.1925,1.40895,0.0013466,0.0013466,0.0013466
35,41.2838,0.49697,0.42357,0.91968,0.97935,0.625,0.6747,0.4628,1.10558,1.30902,1.31014,0.0013268,0.0013268,0.0013268
36,42.5437,0.50324,0.51466,0.94828,0.91393,0.625,0.68733,0.48039,1.07701,1.48909,1.27179,0.001307,0.001307,0.001307
37,44.1887,0.46944,0.41793,0.88475,0.91393,0.625,0.68733,0.48039,1.07701,1.48909,1.27179,0.0012872,0.0012872,0.0012872
38,45.4901,0.51235,0.45765,0.94941,1,0.60726,0.67789,0.49799,1.07314,1.58124,1.27293,0.0012674,0.0012674,0.0012674
39,47.1837,0.51017,0.445,0.94325,0.8935,0.5625,0.61577,0.50864,1.02503,1.51321,1.21478,0.0012476,0.0012476,0.0012476
