epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,2.00021,0.48571,0.82645,0.93512,1,0.65575,0.69212,0.43802,1.26815,1.88797,1.38668,2e-05,2e-05,2e-05
2,2.67883,0.73165,1.1285,1.12131,0.98311,0.58333,0.68324,0.4152,1.24546,1.90136,1.36379,5.9406e-05,5.9406e-05,5.9406e-05
3,3.33917,0.49057,0.8069,0.9229,1,0.57779,0.63881,0.42871,1.23004,1.91662,1.33841,9.802e-05,9.802e-05,9.802e-05
4,3.98592,0.47506,0.94757,0.99237,0.84229,0.5,0.56016,0.4145,1.21206,1.97723,1.30319,0.000135842,0.000135842,0.000135842
5,4.60446,0.51728,0.77546,0.9958,0.82747,0.5,0.48581,0.34926,1.21455,2.09276,1.28576,0.000172872,0.000172872,0.000172872
6,5.23089,0.60961,1.05636,1.06434,0.85408,0.5,0.47066,0.34558,1.12479,2.07641,1.22301,0.00020911,0.00020911,0.00020911
7,5.91922,0.4092,0.78633,0.92073,0.91892,0.5,0.52295,0.3958,1.12089,1.98846,1.213,0.000244556,0.000244556,0.000244556
8,6.55931,0.56061,0.7748,0.97934,1,0.48517,0.53038,0.40132,1.08635,1.98235,1.20877,0.00027921,0.00027921,0.00027921
9,7.33425,0.55209,0.85735,0.98952,0.84303,0.5,0.50256,0.40105,1.08773,2.013,1.21405,0.000313072,0.000313072,0.000313072
10,7.94351,0.56722,0.83524,0.99967,0.84045,0.5,0.48985,0.39235,1.08482,1.9778,1.229,0.000346142,0.000346142,0.000346142
11,8.55126,0.55561,0.87454,0.97711,0.82173,0.5,0.47792,0.36721,1.12581,2.02609,1.23885,0.00037842,0.00037842,0.00037842
12,9.17073,0.54267,0.82529,1.01235,0.82907,0.5,0.49193,0.37567,1.12455,2.00109,1.24146,0.000409906,0.000409906,0.000409906
13,9.81173,0.58808,0.84688,0.95073,0.81211,0.41667,0.47346,0.35913,1.14251,2.00422,1.27932,0.0004406,0.0004406,0.0004406
14,10.4456,0.5669,0.85206,0.96793,0.7953,0.41667,0.45751,0.30482,1.20581,2.05124,1.30792,0.000470502,0.000470502,0.000470502
15,11.1035,0.43047,0.95491,0.91198,1,0.40496,0.47477,0.31019,1.24033,2.1674,1.33451,0.000499612,0.000499612,0.000499612
16,11.7501,0.63196,1.16953,1.02888,0.73041,0.41667,0.42696,0.28503,1.37486,2.28408,1.4764,0.00052793,0.00052793,0.00052793
17,12.3761,0.53242,0.93283,0.97754,0.78204,0.33333,0.38173,0.24935,1.3856,2.40242,1.55421,0.000555456,0.000555456,0.000555456
18,13.0387,0.65077,1.06509,1.00941,0.60657,0.33333,0.28678,0.19044,1.5206,2.54564,1.62759,0.00058219,0.00058219,0.00058219
19,13.6566,0.62524,1.01525,1.05552,0.64371,0.33333,0.29296,0.19364,1.46337,2.37032,1.53478,0.000608132,0.000608132,0.000608132
20,14.3307,0.65669,0.89653,0.95802,0.52643,0.41667,0.3085,0.21126,1.40345,2.20219,1.42369,0.000633282,0.000633282,0.000633282
21,14.9706,0.71765,0.89684,0.95369,0.95601,0.41667,0.48705,0.30402,1.37958,2.14395,1.46486,0.00065764,0.00065764,0.00065764
22,15.576,0.51521,1.03554,1.01824,0.98395,0.5,0.51756,0.35384,1.37353,2.1129,1.49138,0.000681206,0.000681206,0.000681206
23,16.2393,0.55232,0.75306,0.94146,0.96128,0.5,0.51441,0.36831,1.32298,1.97035,1.48579,0.00070398,0.00070398,0.00070398
24,16.8955,0.66854,1.1624,1.0559,0.9669,0.5,0.51732,0.38232,1.35429,1.8963,1.47692,0.000725962,0.000725962,0.000725962
25,17.5213,0.71213,0.78845,1.09124,0.96353,0.5,0.51662,0.42006,1.31699,1.91463,1.44208,0.000747152,0.000747152,0.000747152
